qo_lc[m3/d],qg_lc[m3/d],Date & Time
306.44,26911.26527742058,2018-04-24 07:55:00
335.07,36678.754853257014,2018-04-24 07:56:00
340.51,34221.48734192039,2018-04-24 07:57:00
349.76,35061.253451390105,2018-04-24 07:58:00
314.72,28624.115532411997,2018-04-24 07:59:00
347.09,37562.590107316384,2018-04-24 08:00:00
329.58,31623.741739305064,2018-04-24 08:01:00
339.99,33436.34875380864,2018-04-24 08:02:00
365.74,35697.794082184984,2018-04-24 08:03:00
318.32,36772.952103689764,2018-04-24 08:04:00
335.54,36148.02723251569,2018-04-24 08:05:00
383.78,40209.38625683692,2018-04-24 08:06:00
359.1,42610.389217628996,2018-04-24 08:07:00
345.41,33862.11475828045,2018-04-24 08:08:00
328.9,35185.040957537574,2018-04-24 08:09:00
361.12,37394.17640900514,2018-04-24 08:10:00
301.81,29532.136634277984,2018-04-24 08:11:00
357.75,33509.00057803143,2018-04-24 08:12:00
344.97,34469.211048530495,2018-04-24 08:13:00
263.61,29076.819228683355,2018-04-24 08:14:00
344.4,31151.22430391984,2018-04-24 08:15:00
284.16,30133.710052606762,2018-04-24 08:16:00
315.68,35306.53059901622,2018-04-24 08:17:00
322.56,38026.599595061365,2018-04-24 08:18:00
376.61,39893.92420577166,2018-04-24 08:19:00
305.31,28587.163292676618,2018-04-24 08:20:00
322.52,37118.672722886055,2018-04-24 08:21:00
362.4,38084.796191286834,2018-04-24 08:22:00
324.51,32645.998918593814,2018-04-24 08:23:00
344.88,32326.305099965844,2018-04-24 08:24:00
362.07,35434.931337564296,2018-04-24 08:25:00
336.68,31720.99992673868,2018-04-24 08:26:00
306.38,31796.44557570729,2018-04-24 08:27:00
363.2,36249.93351622998,2018-04-24 08:28:00
318.82,30034.391435975587,2018-04-24 08:29:00
347.36,39649.50517903549,2018-04-24 08:30:00
295.68,27993.430527291734,2018-04-24 08:31:00
341.04,29039.986320084434,2018-04-24 08:32:00
362.57,38586.40394540024,2018-04-24 08:33:00
335.61,30212.24236356431,2018-04-24 08:34:00
330.29,35416.75201624951,2018-04-24 08:35:00
346.91,39199.252696590745,2018-04-24 08:36:00
325.31,36147.21153273257,2018-04-24 08:37:00
304.12,24614.65688634448,2018-04-24 08:38:00
357.65,40649.371783425115,2018-04-24 08:39:00
355.1,32161.200099217534,2018-04-24 08:40:00
304.93,31333.54789523468,2018-04-24 08:41:00
302.46,26682.309410014008,2018-04-24 08:42:00
347.69,31156.23380780189,2018-04-24 08:43:00
342.65,34885.24834719195,2018-04-24 08:44:00
319.69,28148.38566791956,2018-04-24 08:45:00
312.14,28064.586267498442,2018-04-24 08:46:00
372.35,30488.05556490492,2018-04-24 08:47:00
373.63,32168.697045928187,2018-04-24 08:48:00
342.17,38964.29259507375,2018-04-24 08:49:00
303.71,31376.392726280843,2018-04-24 08:50:00
321.39,32664.0859779223,2018-04-24 08:51:00
359.45,32972.99212856686,2018-04-24 08:52:00
316.97,29571.289795612916,2018-04-24 08:53:00
379.03,35026.2998078593,2018-04-24 08:54:00
371.0,40908.86283140089,2018-04-24 08:55:00
375.27,39911.729289652256,2018-04-24 08:56:00
338.45,30802.570999719894,2018-04-24 08:57:00
324.6,33091.63206153911,2018-04-24 08:58:00
322.85,33867.985695603114,2018-04-24 08:59:00
327.41,29768.084578046088,2018-04-24 09:00:00
378.83,40027.92638271061,2018-04-24 09:01:00
356.8,36765.64082604173,2018-04-24 09:02:00
347.43,29307.565206803247,2018-04-24 09:03:00
340.78,35579.352421434145,2018-04-24 09:04:00
319.47,25792.39431020548,2018-04-24 09:05:00
370.62,34501.86264756839,2018-04-24 09:06:00
376.97,41420.84730513073,2018-04-24 09:07:00
325.61,32188.96452527847,2018-04-24 09:08:00
331.96,33932.07595008558,2018-04-24 09:09:00
395.02,50799.970529739716,2018-04-24 09:10:00
357.15,36562.321931451625,2018-04-24 09:11:00
364.64,35724.68312880126,2018-04-24 09:12:00
332.75,52126.71478663878,2018-04-24 09:13:00
